	MuonType	wheel	sector	station	hits	tdcs	lateralities	Q	phi	phib	bX	Chi2	x	tanPsi	t0	id
1	[Bayes]	-1	 5	2 	[11, 11, 11, 11, 6, 6, 6, 6]	[614.0, 687.0, 489.0, 488.0, 757.0, 482.0, 767.0, 479.0]	[0, 1, 1, 0, 0, 1, 0, 0]	Q8	-27350.0	-1265.0	-11.0	233780.0	-87085.0	1086.0	221.0	73633-1
2	[Bayes]	-1	 5	2 	[11, 11, 11, 11, 6, 6, 6, 6]	[462.0, 687.0, 710.0, 488.0, 757.0, 482.0, 767.0, 479.0]	[0, 0, 0, 0, 0, 1, 0, 0]	Q8	-27519.0	-1203.0	-11.0	1565158.0	-87773.0	1024.0	222.0	73633-2
3	[Bayes]	-1	 5	2 	[11, 11, 11, 11, 6, 6, 6, 6]	[614.0, 687.0, 710.0, 488.0, 757.0, 482.0, 767.0, 479.0]	[0, 0, 0, 0, 0, 1, 0, 0]	Q8	-27396.0	-1250.0	-11.0	0.0	-87271.0	1070.0	223.0	73633-3
4	[Bayes]	-1	 5	2 	[11, 11, 11, 11, 6, 6, 6, 6]	[462.0, 687.0, 489.0, 817.0, 757.0, 482.0, 767.0, 479.0]	[1, 1, 1, 1, 0, 0, 0, 0]	Q8	-27311.0	-1278.0	-11.0	0.0	-86919.0	1099.0	216.0	73633-4
5	[Bayes]	-1	 5	2 	[11, 11, 11, 11, 6, 6, 6, 6]	[614.0, 687.0, 489.0, 817.0, 757.0, 482.0, 767.0, 479.0]	[1, 1, 1, 1, 0, 0, 0, 0]	Q8	-27263.0	-1293.0	-10.0	148088.0	-86727.0	1114.0	248.0	73633-5
6	[Bayes]	-1	 5	2 	[11, 11, 11, 11, 6, 6, 6, 6]	[462.0, 687.0, 489.0, 488.0, 757.0, 482.0, 767.0, 479.0]	[1, 0, 1, 0, 0, 1, 0, 0]	Q8	-27226.0	-1296.0	-9.0	1646325.0	-86576.0	1117.0	275.0	73633-6
7	[Bayes]	-1	 5	2 	[11, 11, 11, 11, -1, -1, -1, -1]	[614.0, 687.0, 489.0, 488.0, -1.0, -1.0, -1.0, -1.0]	[0, 1, 1, 0, -1, 0, 0, 0]	Q3	-24456.0	1751.0	-6.0	0.0	-73075.0	-790.0	362.0	73633-7
8	[Bayes]	-1	 5	2 	[11, 11, 11, 11, -1, -1, -1, -1]	[462.0, 687.0, 489.0, 817.0, -1.0, -1.0, -1.0, -1.0]	[1, 1, 1, 1, -1, 0, 0, 0]	Q3	-24629.0	270.0	-5.0	0.0	-73763.0	56.0	387.0	73633-8
9	[Bayes]	 0	 4	2 	[48, 48, 48, 49, -1, -1, -1, -1]	[582.0, 723.0, 521.0, 868.0, -1.0, -1.0, -1.0, -1.0]	[1, 1, 1, 1, -1, 0, 0, 0]	Q3	15902.0	1099.0	-5.0	0.0	82487.0	-773.0	366.0	73633-9
10	[Bayes]	 0	 4	1 	[26, 26, 25, 27, 27, 28, 27, 28]	[863.0, 570.0, 614.0, 732.0, 524.0, 874.0, 541.0, 814.0]	[0, 0, 0, 0, 1, 1, 1, 1]	Q8	14444.0	573.0	-4.0	212138.0	8591.0	-411.0	391.0	73633-10
11	[Bayes]	 0	10	1 	[33, 34, 33, 34, 37, 37, 37, 38]	[471.0, 607.0, 741.0, 496.0, 614.0, 746.0, 496.0, 585.0]	[0, 0, 0, 1, 0, 1, 0, 1]	Q8	-1991.0	-1268.0	-4.0	0.0	45714.0	-736.0	397.0	73633-11
12	[Bayes]	-1	 5	2 	[-1, -1, -1, -1, 6, 6, 6, 6]	[-1.0, -1.0, -1.0, -1.0, 757.0, 482.0, 767.0, 479.0]	[0, 0, 0, 0, 0, 1, 0, 0]	Q3	-29898.0	440.0	-3.0	360.0	-100263.0	14.0	429.0	73633-12
13	[Bayes]	-1	 5	2 	[-1, -1, -1, -1, 6, 6, 6, 6]	[-1.0, -1.0, -1.0, -1.0, 757.0, 482.0, 767.0, 479.0]	[0, 0, 0, 0, 0, 1, 0, 0]	Q3	-29898.0	440.0	-3.0	360.0	-100263.0	14.0	429.0	73633-13
14	[Bayes]	-1	 5	2 	[-1, -1, -1, -1, 6, 6, 6, 6]	[-1.0, -1.0, -1.0, -1.0, 757.0, 482.0, 767.0, 479.0]	[0, 0, 0, 0, 0, 0, 0, 1]	Q3	-29898.0	440.0	-3.0	360.0	-100263.0	14.0	429.0	73633-14
15	[Bayes]	-1	 5	2 	[-1, -1, -1, -1, 6, 6, 6, 6]	[-1.0, -1.0, -1.0, -1.0, 757.0, 482.0, 767.0, 479.0]	[0, 0, 0, 0, 0, 0, 0, 0]	Q3	-29898.0	440.0	-3.0	360.0	-100263.0	14.0	429.0	73633-15
16	[Bayes]	-1	 5	2 	[-1, -1, -1, -1, 6, 6, 6, 6]	[-1.0, -1.0, -1.0, -1.0, 757.0, 482.0, 767.0, 479.0]	[0, 0, 0, 0, 0, 1, 0, 0]	Q3	-29898.0	440.0	-3.0	360.0	-100263.0	14.0	429.0	73633-16
17	[Bayes]	-1	 5	2 	[-1, -1, -1, -1, 6, 6, 6, 6]	[-1.0, -1.0, -1.0, -1.0, 757.0, 482.0, 767.0, 479.0]	[0, 0, 0, 0, 0, 1, 0, 0]	Q3	-29898.0	440.0	-3.0	360.0	-100263.0	14.0	429.0	73633-17
