eventNumber,wheel,sector,station,superLayer,wire,layer
52242,-2,4,1,1,"[39, 39, 38, 39]","[1, 2, 3, 4]"
52242,-1,12,2,1,"[8, 9, 8, 9]","[1, 2, 3, 4]"
52242,-1,12,2,3,"[9, 10, 9, 10]","[1, 2, 3, 4]"
52242,1,2,1,1,"[16, 17, 17, 17]","[1, 2, 3, 4]"
52242,1,2,1,3,"[20, 20, 20, 20]","[1, 2, 3, 4]"
52242,1,2,2,1,"[16, 17, 16, 17]","[1, 2, 3, 4]"
52242,1,2,2,3,"[16, 17, 16, 17]","[1, 2, 3, 4]"
52242,1,5,1,1,"[41, 42]","[1, 2]"
52242,1,6,1,3,[13],[2]
52242,1,8,1,1,"[45, 45, 45, 45]","[1, 2, 3, 4]"
52242,1,8,1,3,"[46, 46, 46, 46]","[1, 2, 3, 4]"
52242,1,8,2,1,"[39, 39, 39, 40]","[1, 2, 3, 4]"
52242,1,8,2,3,"[39, 39, 39, 39]","[1, 2, 3, 4]"
52242,1,8,3,1,"[57, 58, 57, 58]","[1, 2, 3, 4]"
52242,1,8,3,3,"[58, 58, 58, 58]","[1, 2, 3, 4]"
52242,1,8,4,1,"[85, 87, 85, 87, 85, 87, 85, 88]","[1, 1, 2, 2, 3, 3, 4, 4]"
52242,1,8,4,3,"[87, 88, 87, 88, 88]","[1, 2, 3, 4, 4]"
52242,1,11,1,1,"[10, 10, 9, 10]","[1, 2, 3, 4]"
52242,1,11,1,3,"[4, 4, 3, 3]","[1, 2, 3, 4]"
52242,1,12,2,1,"[50, 51, 50, 51]","[1, 2, 3, 4]"
52242,1,12,2,3,"[51, 51, 51, 51]","[1, 2, 3, 4]"
52242,2,5,2,1,[52],[4]
52242,2,6,2,1,[23],[2]
52242,2,10,2,1,"[22, 22]","[1, 2]"
52243,-2,3,1,1,"[32, 32]","[3, 4]"
52243,-2,3,1,3,"[27, 27, 27, 27]","[1, 2, 3, 4]"
52243,-2,10,1,1,"[17, 17, 17, 17]","[1, 2, 3, 4]"
52243,-2,10,1,3,"[14, 15, 14, 15]","[1, 2, 3, 4]"
52243,-1,1,1,3,"[44, 43, 41, 40]","[1, 2, 3, 4]"
52243,2,2,1,1,"[42, 42]","[1, 2]"
52243,2,3,4,1,"[68, 68, 68, 68]","[1, 2, 3, 4]"
52243,2,11,1,3,"[21, 22, 21, 22]","[1, 2, 3, 4]"
52243,2,11,2,1,"[11, 11, 11, 11]","[1, 2, 3, 4]"
52243,2,11,2,3,"[9, 10, 9, 10]","[1, 2, 3, 4]"
52243,2,11,3,1,"[23, 23, 23, 23, 24, 22, 23, 23, 23]","[1, 1, 2, 2, 2, 3, 3, 4, 4]"
52243,2,11,3,3,"[20, 22, 23, 20, 22, 21, 23]","[1, 1, 2, 3, 3, 4, 4]"
52244,-2,6,1,3,"[36, 36]","[3, 4]"
52244,-2,7,1,3,[40],[1]
52244,0,5,1,1,"[33, 33, 34, 34, 35, 33, 34, 34, 35]","[1, 1, 1, 2, 2, 3, 3, 4, 4]"
52244,0,5,1,3,"[34, 34, 37, 34, 38, 34, 38, 34, 35, 39]","[1, 1, 1, 2, 2, 3, 3, 4, 4, 4]"
52244,0,5,2,1,"[55, 57, 54, 56, 58, 54, 55, 54, 56]","[1, 1, 2, 2, 2, 3, 3, 4, 4]"
52244,0,5,2,3,"[57, 53, 58, 53, 57, 53, 58]","[1, 2, 2, 3, 3, 4, 4]"
52244,0,5,3,1,"[56, 57, 56, 57]","[1, 2, 3, 4]"
52244,0,5,3,3,"[57, 59, 58, 57, 58]","[1, 1, 2, 3, 4]"
52244,0,5,4,1,"[56, 56, 56, 56, 56]","[1, 2, 3, 4, 4]"
52244,0,5,4,3,"[55, 55, 55, 55]","[1, 2, 3, 4]"
52244,1,7,1,1,[13],[4]
52244,1,7,1,3,"[8, 10, 9, 11, 8, 10, 9, 11]","[1, 1, 2, 2, 3, 3, 4, 4]"
52244,2,8,1,1,[22],[4]
52244,2,10,1,1,"[27, 29, 27, 30, 27, 29, 28, 30]","[1, 1, 2, 2, 3, 3, 4, 4]"
52244,2,10,1,3,"[31, 31, 31, 31]","[1, 2, 3, 4]"
52245,-2,3,2,1,"[17, 17, 17, 17]","[1, 2, 3, 4]"
52245,-2,3,2,3,"[18, 19, 18, 19]","[1, 2, 3, 4]"
52245,-2,3,3,1,"[14, 15, 14, 14]","[1, 2, 3, 4]"
52245,-2,3,3,3,"[14, 13]","[2, 3]"
52245,-2,6,1,1,"[31, 1, 32, 31, 32]","[1, 2, 2, 3, 4]"
52245,-2,6,1,3,"[34, 35, 34, 35]","[1, 2, 3, 4]"
52245,-2,8,1,1,"[35, 35, 35]","[2, 3, 4]"
52245,-2,8,1,3,"[34, 35, 34, 35]","[1, 2, 3, 4]"
52245,-2,11,1,3,[25],[4]
52245,-1,9,2,1,"[49, 49, 50, 49, 50, 50, 48, 50, 50, 49, 50, 50]","[1, 1, 1, 2, 2, 2, 3, 3, 3, 4, 4, 4]"
52245,-1,9,2,3,"[51, 52, 51, 54, 51, 52, 55]","[1, 2, 3, 3, 4, 4, 4]"
52245,-1,9,3,1,"[48, 49, 48, 49]","[1, 2, 3, 4]"
52245,-1,9,3,3,"[49, 49, 49, 49]","[1, 2, 3, 4]"
52245,-1,9,4,1,"[42, 42, 42]","[1, 3, 4]"
52245,-1,9,4,3,"[42, 43, 42, 43]","[1, 2, 3, 4]"
52245,1,2,2,3,"[28, 35]","[2, 4]"
52245,1,9,2,1,"[47, 47]","[3, 4]"
52245,1,9,2,3,"[43, 43]","[3, 4]"
52245,1,10,2,3,"[42, 43, 42, 43]","[1, 2, 3, 4]"
52245,1,11,1,1,"[36, 36]","[1, 2]"
52245,2,3,1,1,"[47, 48, 43]","[1, 2, 4]"
52245,2,7,2,3,[42],[2]
52245,2,8,1,1,"[46, 47]","[1, 2]"
52245,2,8,2,1,[8],[2]
52245,2,10,1,1,"[18, 19, 18, 19]","[1, 2, 3, 4]"
52245,2,10,1,3,"[19, 19, 19, 19]","[1, 2, 3, 4]"
52245,2,12,1,1,"[8, 7, 6, 6]","[1, 2, 3, 4]"
52246,-2,4,1,1,"[44, 45, 44]","[1, 2, 3]"
52246,-2,9,1,1,"[4, 4, 5]","[3, 3, 4]"
52246,-2,9,1,3,"[8, 8, 8, 8]","[1, 2, 3, 4]"
52246,-1,2,1,1,"[44, 44, 43, 44]","[1, 2, 3, 4]"
52246,-1,2,1,3,"[42, 42, 41, 42]","[1, 2, 3, 4]"
52246,-1,4,3,1,"[64, 64, 65, 65, 66, 66, 66, 67, 69, 63, 64, 65, 65, 66, 66, 67, 67, 71, 72, 62, 64, 65, 65, 66, 66, 67, 67, 67, 65, 66, 66, 67, 67, 67, 68, 68]","[1, 1, 1, 1, 1, 1, 1, 1, 1, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 3, 3, 3, 3, 3, 3, 3, 3, 3, 4, 4, 4, 4, 4, 4, 4, 4]"
52246,-1,4,3,3,"[64, 65, 66, 66, 67, 67, 67, 68, 68, 69, 69, 70, 71, 63, 64, 64, 66, 67, 67, 68, 68, 69, 70, 71, 63, 64, 65, 66, 66, 67, 67, 68, 68, 69, 69, 70, 64, 66, 66, 67, 67, 68, 68, 69, 70, 70, 71]","[1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4]"
52246,-1,5,2,1,"[1, 1, 1, 2, 1]","[1, 2, 2, 2, 3]"
52246,-1,5,2,3,"[1, 1, 1, 2, 1, 9, 10]","[1, 1, 2, 2, 3, 3, 4]"
52246,-1,8,1,3,"[2, 3, 2, 2]","[1, 2, 3, 4]"
52246,-1,10,1,3,"[45, 45, 46]","[2, 3, 4]"
52246,-1,10,3,1,"[72, 72, 72]","[2, 3, 4]"
52246,-1,11,2,1,"[4, 5, 4, 5, 4, 4, 4, 5]","[1, 1, 2, 2, 3, 3, 4, 4]"
52246,-1,11,2,3,"[4, 6, 4, 3, 4]","[1, 1, 2, 3, 4]"
52246,-1,13,4,1,"[38, 39, 39, 39]","[1, 2, 3, 4]"
52246,-1,13,4,3,"[40, 40, 40, 41]","[1, 2, 3, 4]"
52246,-1,14,4,1,"[45, 45, 46, 45, 46, 45, 46]","[1, 2, 2, 3, 3, 4, 4]"
52246,-1,14,4,3,"[44, 46, 44, 46, 17, 44, 46, 44, 47]","[1, 1, 2, 2, 3, 3, 3, 4, 4]"
52246,1,1,2,1,"[43, 44, 43, 44]","[1, 2, 3, 4]"
52246,1,1,2,3,"[42, 42, 42, 42]","[1, 2, 3, 4]"
52246,1,1,3,1,"[56, 57, 57, 57, 58, 57, 58]","[1, 1, 2, 2, 2, 3, 4]"
52246,1,1,3,3,"[58, 58, 58, 58]","[1, 2, 3, 4]"
52246,1,10,1,1,"[4, 4, 6]","[2, 3, 4]"
52246,1,10,1,3,"[22, 40, 23, 41, 22, 23]","[1, 1, 2, 2, 3, 4]"
52246,1,11,1,3,"[46, 45, 44, 44]","[1, 2, 3, 4]"
52246,2,3,2,1,"[7, 11, 8, 12, 8, 10, 11, 9, 11]","[1, 1, 2, 2, 3, 3, 3, 4, 4]"
52246,2,3,2,3,"[6, 7, 6, 7, 6, 6, 7]","[1, 1, 2, 2, 3, 4, 4]"
52247,-1,4,1,1,"[1, 1, 1, 2]","[1, 2, 3, 4]"
52247,-1,4,1,3,"[4, 4, 4, 4, 5]","[1, 2, 3, 3, 4]"
52247,-1,4,2,1,"[29, 30, 30, 30]","[1, 2, 3, 4]"
52247,-1,4,2,3,"[32, 33, 32, 33]","[1, 2, 3, 4]"
52247,-1,10,1,1,"[46, 47, 46, 47]","[1, 2, 3, 4]"
52247,0,11,1,1,"[10, 10, 11, 11, 11, 10, 10, 10, 11, 11]","[1, 1, 1, 2, 2, 3, 3, 4, 4, 4]"
